caldt,vwretd,vwretx
1957-01-31,-0.032121,-0.033529
1957-02-28,-0.018703,-0.024198
1957-03-29,0.024112,0.020947
1957-04-30,0.045179,0.043785
1957-05-31,0.036679,0.031177
1957-06-28,-0.005054,-0.007812
1957-07-31,0.008938,0.007362
1957-08-30,-0.050051,-0.055226
1957-09-30,-0.057586,-0.060387
1957-10-31,-0.041251,-0.04305
1957-11-29,0.025605,0.018521
1957-12-31,-0.03736,-0.041179
1958-01-31,0.049595,0.048239
1958-02-28,-0.014257,-0.020351
1958-03-31,0.0337,0.030263
1958-04-30,0.030833,0.029282
1958-05-29,0.024582,0.019186
1958-06-30,0.029493,0.026265
1958-07-31,0.044844,0.043276
1958-08-29,0.019181,0.014464
1958-09-30,0.04868,0.045746
1958-10-31,0.027184,0.025739
1958-11-28,0.03061,0.025441
1958-12-31,0.053099,0.050293
1959-01-30,0.00912,0.008122
1959-02-27,0.01122,0.006813
1959-03-31,0.004669,0.002113
1959-04-30,0.037899,0.036877
1959-05-29,0.019595,0.015364
1959-06-30,0.000676,-0.001865
1959-07-31,0.034362,0.033327
1959-08-31,-0.012446,-0.016502
1959-09-30,-0.044977,-0.047403
1959-10-30,0.015746,0.014613
1959-11-30,0.018557,0.013272
1959-12-31,0.028043,0.025271
1960-01-29,-0.066244,-0.067191
1960-02-29,0.014419,0.009714
1960-03-31,-0.012822,-0.015488
1960-04-29,-0.015271,-0.016329
1960-05-31,0.034098,0.029279
1960-06-30,0.022833,0.020134
1960-07-29,-0.022705,-0.023635
1960-08-31,0.032215,0.027065
1960-09-30,-0.058673,-0.06086
1960-10-31,-0.004705,-0.005921
1960-11-30,0.048617,0.042646
1960-12-30,0.048537,0.04623
1961-01-31,0.063952,0.062787
1961-02-28,0.037005,0.032834
1961-03-30,0.03061,0.028347
1961-04-28,0.005645,0.004884
1961-05-31,0.025894,0.021619
1961-06-30,-0.028499,-0.03057
1961-07-31,0.029955,0.029207
1961-08-31,0.026854,0.021872
1961-09-29,-0.01999,-0.021266
1961-10-31,0.027331,0.026092
1961-11-30,0.045451,0.039879
1961-12-29,0.000713,-0.000599
1962-01-31,-0.036147,-0.037488
1962-02-28,0.019512,0.015252
1962-03-30,-0.004688,-0.006113
1962-04-30,-0.063435,-0.064212
1962-05-31,-0.08462,-0.089763
1962-06-29,-0.082615,-0.084336
1962-07-31,0.065438,0.064129
1962-08-31,0.023417,0.017888
1962-09-28,-0.050158,-0.051786
1962-10-31,0.002188,0.000431
1962-11-30,0.110137,0.102924
1962-12-31,0.011865,0.010056
1963-01-31,0.051848,0.050475
1963-02-28,-0.021931,-0.026608
1963-03-29,0.032917,0.031233
1963-04-30,0.047439,0.046435
1963-05-31,0.020051,0.014726
1963-06-28,-0.01803,-0.019459
1963-07-31,-0.001717,-0.002995
1963-08-30,0.052684,0.048035
1963-09-30,-0.011898,-0.013316
1963-10-31,0.027708,0.026276
1963-11-29,-0.005549,-0.011692
1963-12-31,0.021737,0.019978
1964-01-31,0.02579,0.024731
1964-02-28,0.017207,0.012653
1964-03-31,0.017636,0.015967
1964-04-30,0.004607,0.003672
1964-05-28,0.017403,0.012531
1964-06-30,0.01508,0.013413
1964-07-31,0.020118,0.019127
1964-08-31,-0.011266,-0.015575
1964-09-30,0.03048,0.028792
1964-10-30,0.008869,0.00773
1964-11-30,0.00309,-0.002673
1964-12-31,0.00369,0.001939
1965-01-29,0.038646,0.037663
1965-02-26,0.006946,0.002634
1965-03-31,-0.009715,-0.011428
1965-04-30,0.033652,0.032737
1965-05-28,-0.004351,-0.009102
1965-06-30,-0.051868,-0.053592
1965-07-30,0.01676,0.015871
1965-08-31,0.030883,0.026133
1965-09-30,0.031952,0.030357
1965-10-29,0.029271,0.028212
1965-11-30,0.003065,-0.002961
1965-12-31,0.013545,0.011976
1966-01-31,0.012122,0.011231
1966-02-28,-0.008621,-0.013014
1966-03-31,-0.020923,-0.022747
1966-04-29,0.024837,0.023853
1966-05-31,-0.052538,-0.057483
1966-06-30,-0.010317,-0.012063
1966-07-29,-0.01287,-0.013831
1966-08-31,-0.075388,-0.080712
1966-09-30,-0.006958,-0.008696
1966-10-31,0.042294,0.041171
1966-11-30,0.017516,0.010606
1966-12-30,0.00621,0.00441
1967-01-31,0.08553,0.084077
1967-02-28,0.010945,0.006257
1967-03-31,0.043384,0.041582
1967-04-28,0.041609,0.040696
1967-05-31,-0.039293,-0.044217
1967-06-30,0.026902,0.025341
1967-07-31,0.04919,0.048278
1967-08-31,-0.006282,-0.011073
1967-09-29,0.034286,0.032875
1967-10-31,-0.027433,-0.028649
1967-11-30,0.007902,0.002565
1967-12-29,0.033699,0.032203
1968-01-31,-0.036331,-0.037831
1968-02-29,-0.033624,-0.038107
1968-03-29,0.005117,0.00374
1968-04-30,0.094148,0.09273
1968-05-31,0.02704,0.022493
1968-06-28,0.011527,0.010038
1968-07-30,-0.022024,-0.023161
1968-08-30,0.018037,0.013494
1968-09-30,0.044454,0.043207
1968-10-31,0.009041,0.007468
1968-11-29,0.058501,0.054124
1968-12-31,-0.033873,-0.035362
1969-01-31,-0.006711,-0.007725
1969-02-28,-0.053641,-0.057883
1969-03-28,0.030505,0.029062
1969-04-30,0.020527,0.019346
1969-05-29,0.00504,0.000241
1969-06-30,-0.067388,-0.068958
1969-07-31,-0.065171,-0.066371
1969-08-29,0.051491,0.046518
1969-09-30,-0.02259,-0.024167
1969-10-31,0.055637,0.05377
1969-11-28,-0.032164,-0.036677
1969-12-31,-0.01968,-0.021471
1970-01-30,-0.073254,-0.074519
1970-02-27,0.056706,0.051651
1970-03-31,-0.004729,-0.006569
1970-04-30,-0.105318,-0.106393
1970-05-29,-0.064346,-0.069931
1970-06-30,-0.051067,-0.053372
1970-07-31,0.07417,0.072132
1970-08-31,0.050036,0.044584
1970-09-30,0.047535,0.0456
1970-10-30,-0.018208,-0.02045
1970-11-30,0.050448,0.045355
1970-12-31,0.060723,0.058969
1971-01-29,0.05203,0.050772
1971-02-26,0.016913,0.012412
1971-03-31,0.044778,0.042972
1971-04-30,0.033332,0.0323
1971-05-28,-0.036409,-0.040737
1971-06-30,0.003119,0.001385
1971-07-30,-0.040283,-0.041317
1971-08-31,0.042511,0.037666
1971-09-30,-0.005016,-0.006491
1971-10-29,-0.040683,-0.042346
1971-11-30,-0.001262,-0.005696
1971-12-31,0.091257,0.089557
1972-01-31,0.028382,0.027169
1972-02-29,0.031349,0.027272
1972-03-30,0.008723,0.007248
1972-04-28,0.005505,0.004723
1972-05-31,0.016375,0.01196
1972-06-30,-0.020897,-0.022412
1972-07-31,-0.004254,-0.00531
1972-08-31,0.035966,0.031857
1972-09-29,-0.00767,-0.009085
1972-10-31,0.008676,0.007358
1972-11-30,0.049764,0.045305
1972-12-29,0.011243,0.009903
1973-01-31,-0.027454,-0.028654
1973-02-28,-0.04437,-0.047916
1973-03-30,-0.007857,-0.00933
1973-04-30,-0.051769,-0.052965
1973-05-31,-0.024508,-0.028777
1973-06-29,-0.008648,-0.010424
1973-07-31,0.056961,0.055514
1973-08-31,-0.029657,-0.034039
1973-09-28,0.053931,0.05253
1973-10-31,-0.000415,-0.002142
1973-11-30,-0.120713,-0.125557
1973-12-31,0.011437,0.009421
1974-01-31,0.004413,0.002808
1974-02-28,0.002345,-0.002452
1974-03-29,-0.023364,-0.025299
1974-04-30,-0.045961,-0.047694
1974-05-31,-0.041981,-0.047321
1974-06-28,-0.022942,-0.025407
1974-07-31,-0.070874,-0.072695
1974-08-30,-0.087757,-0.094578
1974-09-30,-0.109718,-0.112274
1974-10-31,0.165584,0.162459
1974-11-29,-0.041046,-0.048241
1974-12-31,-0.027005,-0.030302
1975-01-31,0.1416,0.139591
1975-02-28,0.058412,0.051629
1975-03-31,0.03019,0.027442
1975-04-30,0.046497,0.044433
1975-05-30,0.05514,0.049542
1975-06-30,0.051473,0.048958
1975-07-31,-0.060385,-0.062318
1975-08-29,-0.023558,-0.02896
1975-09-30,-0.03801,-0.040486
1975-10-31,0.055857,0.053272
1975-11-28,0.031222,0.025801
1975-12-31,-0.010998,-0.013677
1976-01-30,0.126012,0.124372
1976-02-27,0.00731,0.002081
1976-03-31,0.02674,0.024295
1976-04-30,-0.010402,-0.011668
1976-05-28,-0.009326,-0.015305
1976-06-30,0.044521,0.042168
1976-07-30,-0.006136,-0.007574
1976-08-31,-0.001398,-0.007387
1976-09-30,0.024513,0.022385
1976-10-29,-0.020372,-0.022249
1976-11-30,0.005363,-0.001438
1976-12-31,0.061591,0.0593
1977-01-31,-0.036326,-0.037995
1977-02-28,-0.015744,-0.02177
1977-03-31,-0.009249,-0.011797
1977-04-29,0.004962,0.003564
1977-05-31,-0.010777,-0.018005
1977-06-30,0.051369,0.048712
1977-07-29,-0.012806,-0.014162
1977-08-31,-0.013338,-0.020278
1977-09-30,0.001572,-0.001008
1977-10-31,-0.039278,-0.041312
1977-11-30,0.04544,0.037081
1977-12-30,0.008223,0.005497
1978-01-31,-0.055199,-0.057209
1978-02-28,-0.009275,-0.0167
1978-03-31,0.034009,0.030865
1978-04-28,0.082853,0.081203
1978-05-31,0.02323,0.015499
1978-06-30,-0.010748,-0.01374
1978-07-31,0.056741,0.054868
1978-08-31,0.04237,0.035504
1978-09-29,-0.006889,-0.009456
1978-10-31,-0.110995,-0.1136
1978-11-30,0.033787,0.025752
1978-12-29,0.017708,0.01458
1979-01-31,0.04953,0.047019
1979-02-28,-0.026765,-0.033781
1979-03-30,0.065613,0.062472
1979-04-30,0.00852,0.006438
1979-05-31,-0.013571,-0.021458
1979-06-29,0.046852,0.043821
1979-07-31,0.014991,0.012773
1979-08-31,0.064732,0.057305
1979-09-28,0.001426,-0.000932
1979-10-31,-0.072662,-0.07547
1979-11-30,0.063604,0.05581
1979-12-31,0.028215,0.025174
1980-01-31,0.065607,0.063303
1980-02-29,0.001015,-0.00574
1980-03-31,-0.120224,-0.123258
1980-04-30,0.052287,0.049833
1980-05-30,0.06009,0.052629
1980-06-30,0.037714,0.034438
1980-07-31,0.069438,0.067066
1980-08-29,0.023554,0.017236
1980-09-30,0.029498,0.026617
1980-10-31,0.020095,0.01737
1980-11-28,0.104952,0.09901
1980-12-31,-0.034411,-0.037041
1981-01-30,-0.040085,-0.041823
1981-02-27,0.015519,0.009121
1981-03-31,0.046183,0.043095
1981-04-30,-0.011266,-0.013035
1981-05-29,0.013546,0.007402
1981-06-30,-0.010243,-0.013356
1981-07-31,-0.003079,-0.004806
1981-08-31,-0.056281,-0.063014
1981-09-30,-0.063776,-0.066716
1981-10-30,0.060162,0.057005
1981-11-30,0.045848,0.039226
1981-12-31,-0.028096,-0.031104
1982-01-29,-0.026209,-0.027912
1982-02-26,-0.051126,-0.05864
1982-03-31,-0.010101,-0.014055
1982-04-30,0.043269,0.041424
1982-05-28,-0.028213,-0.036597
1982-06-30,-0.023913,-0.02738
1982-07-30,-0.020525,-0.022743
1982-08-31,0.119016,0.109934
1982-09-30,0.016766,0.013675
1982-10-29,0.118632,0.115926
1982-11-30,0.051941,0.044997
1982-12-31,0.01451,0.012023
1983-01-31,0.041844,0.039755
1983-02-28,0.030215,0.024204
1983-03-31,0.034678,0.03162
1983-04-29,0.074185,0.072839
1983-05-31,0.013225,0.007961
1983-06-30,0.037837,0.034865
1983-07-29,-0.03157,-0.032865
1983-08-31,0.003465,-0.001801
1983-09-30,0.016027,0.013102
1983-10-31,-0.028038,-0.029739
1983-11-30,0.029556,0.024206
1983-12-30,-0.010464,-0.013442
1984-01-31,-0.013025,-0.014875
1984-02-29,-0.039073,-0.043938
1984-03-30,0.01339,0.010025
1984-04-30,0.002538,0.0008
1984-05-31,-0.05232,-0.057705
1984-06-29,0.023384,0.019501
1984-07-31,-0.020623,-0.022544
1984-08-31,0.112691,0.106814
1984-09-28,0.000403,-0.002539
1984-10-31,-0.000073,-0.002921
1984-11-30,-0.010685,-0.015257
1984-12-31,0.023653,0.020092
1985-01-31,0.085719,0.083508
1985-02-28,0.016898,0.012269
1985-03-29,-0.001747,-0.004924
1985-04-30,-0.002187,-0.003958
1985-05-31,0.055774,0.050799
1985-06-28,0.017091,0.014038
1985-07-31,-0.000251,-0.00222
1985-08-30,-0.004794,-0.009592
1985-09-30,-0.039826,-0.042577
1985-10-31,0.044441,0.042023
1985-11-29,0.069228,0.064699
1985-12-31,0.043061,0.04008
1986-01-31,0.00983,0.008007
1986-02-28,0.072501,0.068191
1986-03-31,0.053887,0.051362
1986-04-30,-0.007903,-0.009634
1986-05-30,0.050847,0.047126
1986-06-30,0.014244,0.011622
1986-07-31,-0.0597,-0.061454
1986-08-29,0.066183,0.06243
1986-09-30,-0.07902,-0.081272
1986-10-31,0.049305,0.04686
1986-11-28,0.015093,0.010874
1986-12-31,-0.026387,-0.029056
1987-01-30,0.128499,0.126927
1987-02-27,0.047922,0.044495
1987-03-31,0.023664,0.021218
1987-04-30,-0.016996,-0.018893
1987-05-29,0.005123,0.001872
1987-06-30,0.043655,0.041143
1987-07-31,0.044247,0.042348
1987-08-31,0.037147,0.03386
1987-09-30,-0.020773,-0.022845
1987-10-30,-0.225361,-0.227342
1987-11-30,-0.072272,-0.076512
1987-12-31,0.070324,0.067212
1988-01-29,0.044875,0.043042
1988-02-29,0.051691,0.045995
1988-03-31,-0.016598,-0.019273
1988-04-29,0.010993,0.00919
1988-05-31,0.000447,-0.003859
1988-06-30,0.051457,0.048743
1988-07-29,-0.007272,-0.009941
1988-08-31,-0.028006,-0.032443
1988-09-30,0.037204,0.034604
1988-10-31,0.017645,0.014482
1988-11-30,-0.016411,-0.02113
1988-12-30,0.021071,0.017627
1989-01-31,0.066101,0.063305
1989-02-28,-0.016442,-0.020172
1989-03-31,0.021465,0.018641
1989-04-28,0.048207,0.046272
1989-05-31,0.039336,0.034581
1989-06-30,-0.004856,-0.007428
1989-07-31,0.077128,0.074881
1989-08-31,0.022126,0.018228
1989-09-29,-0.001473,-0.003969
1989-10-31,-0.029285,-0.031337
1989-11-30,0.017816,0.014333
1989-12-29,0.018294,0.015515
1990-01-31,-0.070114,-0.071947
1990-02-28,0.0149,0.010957
1990-03-30,0.024148,0.021626
1990-04-30,-0.028283,-0.030562
1990-05-31,0.088935,0.084648
1990-06-29,-0.004193,-0.006736
1990-07-31,-0.009392,-0.011593
1990-08-31,-0.091903,-0.095716
1990-09-28,-0.053844,-0.05611
1990-10-31,-0.012499,-0.015049
1990-11-30,0.065742,0.061414
1990-12-31,0.029511,0.026274
1991-01-31,0.049083,0.046987
1991-02-28,0.075848,0.071836
1991-03-28,0.028922,0.026702
1991-04-30,0.003311,0.001186
1991-05-31,0.040737,0.037177
1991-06-28,-0.044024,-0.046271
1991-07-31,0.046779,0.044984
1991-08-30,0.026807,0.023275
1991-09-30,-0.010979,-0.013078
1991-10-31,0.017847,0.016248
1991-11-29,-0.037291,-0.040572
1991-12-31,0.106782,0.104147
1992-01-31,-0.001164,-0.002591
1992-02-28,0.013355,0.010308
1992-03-31,-0.023699,-0.02597
1992-04-30,0.013414,0.011872
1992-05-29,0.006407,0.003302
1992-06-30,-0.019258,-0.021665
1992-07-31,0.0399,0.038369
1992-08-31,-0.020819,-0.02397
1992-09-30,0.012461,0.010286
1992-10-30,0.010983,0.009546
1992-11-30,0.040181,0.036954
1992-12-31,0.01774,0.015533
1993-01-29,0.012616,0.0113
1993-02-26,0.005425,0.002664
1993-03-31,0.025089,0.022659
1993-04-30,-0.025391,-0.026714
1993-05-28,0.029572,0.026539
1993-06-30,0.005434,0.003218
1993-07-30,-0.000806,-0.002153
1993-08-31,0.039496,0.036565
1993-09-30,0.000629,-0.001353
1993-10-29,0.018051,0.01673
1993-11-30,-0.0176,-0.020476
1993-12-31,0.019554,0.017529
1994-01-31,0.031459,0.030071
1994-02-28,-0.024207,-0.026759
1994-03-31,-0.045795,-0.047882
1994-04-29,0.009495,0.008045
1994-05-31,0.009353,0.006362
1994-06-30,-0.02788,-0.030055
1994-07-29,0.030657,0.029283
1994-08-31,0.042629,0.039724
1994-09-30,-0.018338,-0.020352
1994-10-31,0.014521,0.013
1994-11-30,-0.037206,-0.03998
1994-12-30,0.01258,0.010141
1995-01-31,0.020353,0.018753
1995-02-28,0.039647,0.037074
1995-03-31,0.027064,0.024887
1995-04-28,0.025048,0.023597
1995-05-31,0.033909,0.031129
1995-06-30,0.031142,0.029212
1995-07-31,0.040801,0.038953
1995-08-31,0.0093,0.006798
1995-09-29,0.036354,0.034641
1995-10-31,-0.011339,-0.01267
1995-11-30,0.042771,0.040301
1995-12-29,0.015192,0.013354
1996-01-31,0.028121,0.026805
1996-02-29,0.016353,0.014231
1996-03-29,0.010914,0.009211
1996-04-30,0.02556,0.024315
1996-05-31,0.02681,0.024551
1996-06-28,-0.008289,-0.00982
1996-07-31,-0.053851,-0.055285
1996-08-30,0.032451,0.030381
1996-09-30,0.052985,0.051279
1996-10-31,0.013673,0.012302
1996-11-29,0.065594,0.063622
1996-12-31,-0.011381,-0.01307
1997-01-31,0.053473,0.052358
1997-02-28,-0.001067,-0.002802
1997-03-31,-0.044889,-0.046515
1997-04-30,0.042396,0.041181
1997-05-30,0.07164,0.069787
1997-06-30,0.044081,0.04269
1997-07-31,0.076513,0.075201
1997-08-29,-0.036323,-0.037678
1997-09-30,0.058453,0.057049
1997-10-31,-0.034433,-0.035502
1997-11-28,0.030354,0.028841
1997-12-31,0.017822,0.016307
1998-01-30,0.004511,0.003633
1998-02-27,0.073321,0.071816
1998-03-31,0.051273,0.050016
1998-04-30,0.010924,0.009923
1998-05-29,-0.025746,-0.027038
1998-06-30,0.031839,0.03062
1998-07-31,-0.023377,-0.024353
1998-08-31,-0.15786,-0.159168
1998-09-30,0.063814,0.062295
1998-10-30,0.074406,0.073388
1998-11-30,0.062001,0.060593
1998-12-31,0.063058,0.06173
1999-01-29,0.038447,0.037646
1999-02-26,-0.038083,-0.039268
1999-03-31,0.037925,0.036652
1999-04-30,0.049092,0.048271
1999-05-28,-0.020708,-0.022384
1999-06-30,0.050823,0.049725
1999-07-30,-0.030833,-0.03171
1999-08-31,-0.009918,-0.011065
1999-09-30,-0.022669,-0.023872
1999-10-29,0.062107,0.061318
1999-11-30,0.036822,0.035616
1999-12-31,0.083745,0.082631
2000-01-31,-0.039622,-0.040263
2000-02-29,0.03176,0.030657
2000-03-31,0.053499,0.052515
2000-04-28,-0.059519,-0.06031
2000-05-31,-0.038863,-0.04002
2000-06-30,0.051576,0.050779
2000-07-31,-0.017679,-0.018399
2000-08-31,0.074984,0.073803
2000-09-29,-0.051154,-0.051895
2000-10-31,-0.02448,-0.025155
2000-11-30,-0.102365,-0.103574
2000-12-29,0.02045,0.019455
2001-01-31,0.039573,0.038787
2001-02-28,-0.099084,-0.100183
2001-03-30,-0.070408,-0.071364
2001-04-30,0.083834,0.08283
2001-05-31,0.010442,0.009064
2001-06-29,-0.017561,-0.018336
2001-07-31,-0.018284,-0.01925
2001-08-31,-0.05898,-0.060355
2001-09-28,-0.091497,-0.09263
2001-10-31,0.027847,0.026829
2001-11-30,0.078789,0.077353
2001-12-31,0.017854,0.016573
2002-01-31,-0.015966,-0.016921
2002-02-28,-0.0217,-0.023066
2002-03-28,0.044698,0.04373
2002-04-30,-0.0496,-0.050504
2002-05-31,-0.01051,-0.011958
2002-06-28,-0.070259,-0.071515
2002-07-31,-0.081125,-0.08231
2002-08-30,0.007949,0.006405
2002-09-30,-0.099923,-0.101387
2002-10-31,0.07494,0.073522
2002-11-29,0.061282,0.059612
2002-12-31,-0.053334,-0.054977
2003-01-31,-0.023367,-0.024576
2003-02-28,-0.015417,-0.017243
2003-03-31,0.010321,0.008901
2003-04-30,0.082768,0.08118
2003-05-30,0.063471,0.061778
2003-06-30,0.016346,0.014797
2003-07-31,0.023112,0.021764
2003-08-29,0.024965,0.023486
2003-09-30,-0.00912,-0.010607
2003-10-31,0.060361,0.058882
2003-11-28,0.016594,0.015052
2003-12-31,0.045476,0.04382
2004-01-30,0.023042,0.022019
2004-02-27,0.015443,0.013958
2004-03-31,-0.010662,-0.011985
2004-04-30,-0.024222,-0.025568
2004-05-28,0.014068,0.012384
2004-06-30,0.021611,0.020049
2004-07-30,-0.037698,-0.038792
2004-08-31,0.002703,0.001058
2004-09-30,0.020556,0.019099
2004-10-29,0.017806,0.016579
2004-11-30,0.048214,0.04432
2004-12-31,0.03517,0.033414
2005-01-31,-0.026546,-0.027399
2005-02-28,0.022646,0.02081
2005-03-31,-0.016944,-0.018578
2005-04-29,-0.025206,-0.02659
2005-05-31,0.037954,0.036151
2005-06-30,0.011529,0.009905
2005-07-29,0.043357,0.042251
2005-08-31,-0.005958,-0.007776
2005-09-30,0.0106,0.009331
2005-10-31,-0.020866,-0.021974
2005-11-30,0.040326,0.038073
2005-12-30,0.003458,0.001884
2006-01-31,0.040072,0.038966
2006-02-28,-0.001639,-0.003552
2006-03-31,0.019065,0.017598
2006-04-28,0.012999,0.011529
2006-05-31,-0.031026,-0.033005
2006-06-30,-0.000374,-0.001871
2006-07-31,-0.001906,-0.002949
2006-08-31,0.025056,0.022983
2006-09-29,0.019444,0.018128
2006-10-31,0.037125,0.036077
2006-11-30,0.023755,0.021387
2006-12-29,0.01085,0.009162
2007-01-31,0.019386,0.018448
2007-02-28,-0.014023,-0.016019
2007-03-30,0.012955,0.011486
2007-04-30,0.039864,0.038495
2007-05-31,0.038937,0.036641
2007-06-29,-0.014717,-0.016075
2007-07-31,-0.03176,-0.032766
2007-08-31,0.011588,0.009632
2007-09-28,0.040875,0.039368
2007-10-31,0.025923,0.024781
2007-11-30,-0.049415,-0.051367
2007-12-31,-0.004288,-0.006223
2008-01-31,-0.062356,-0.063478
2008-02-29,-0.022002,-0.023967
2008-03-31,-0.010401,-0.01214
2008-04-30,0.051221,0.049882
2008-05-30,0.023992,0.021642
2008-06-30,-0.078606,-0.080328
2008-07-31,-0.013285,-0.014635
2008-08-29,0.011155,0.00914
2008-09-30,-0.098318,-0.100093
2008-10-31,-0.184868,-0.186375
2008-11-28,-0.085405,-0.08821
2008-12-31,0.021629,0.018801
2009-01-30,-0.077633,-0.079072
2009-02-27,-0.101076,-0.104385
2009-03-31,0.087789,0.084564
2009-04-30,0.110657,0.108835
2009-05-29,0.067336,0.064596
2009-06-30,-0.002681,-0.004484
2009-07-31,0.082547,0.081107
2009-08-31,0.031998,0.029766
2009-09-30,0.045295,0.043708
2009-10-30,-0.028492,-0.029777
2009-11-30,0.057365,0.054821
2009-12-31,0.02922,0.027418
2010-01-29,-0.037197,-0.038258
2010-02-26,0.035324,0.033162
2010-03-31,0.064493,0.062831
2010-04-30,0.020269,0.019129
2010-05-28,-0.080029,-0.082193
